Image,Group,Condition,SubID,Threshold,SegAbbr,Grouping,Domain,SegVol,Mean,Median,StDev,Q1,Q3,Min,Max,ActVol,FAV,CoGx,CoGy,CoGz,sCoGx,sCoGy,sCoGz
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,DR,j_Midbrain_I,MB,189.0,0.69,0.68,0.09,0.62,0.73,0.55,0.94,32,0.169,63.2,114.72,39.84,62.41,114.12,40.23
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,CLI,j_Midbrain_G,MB,183.0,0.73,0.65,0.21,0.58,0.79,0.55,1.52,31,0.169,62.4,104.83,33.57,62.94,103.17,32.62
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,MBO,i_Hypothalamus_P,HYP,1280.0,0.72,0.69,0.13,0.62,0.8,0.55,1.27,394,0.308,61.54,94.11,18.77,62.71,93.14,19.14
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,PCG,p_Pons_C,HB,763.0,0.77,0.72,0.2,0.64,0.85,0.55,1.93,289,0.379,63.6,122.23,33.58,63.51,122.4,32.02
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,SNr,j_Midbrain_E,MB,1166.0,0.82,0.78,0.19,0.66,0.94,0.55,1.44,354,0.304,60.77,100.27,27.47,59.78,99.06,24.81
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,LC,p_Pons_F,HB,87.0,0.79,0.79,0.21,0.64,0.83,0.55,1.35,17,0.195,63.98,123.25,36.02,70.26,122.89,34.8
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,PB,p_Pons_E,HB,1048.0,0.76,0.71,0.19,0.63,0.84,0.55,1.44,165,0.157,63.14,119.25,35.81,58.6,121.33,36.1
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,DP,b_CerebralCortex_E,CTX,399.0,0.69,0.65,0.12,0.58,0.74,0.55,1.1,70,0.175,60.97,52.12,39.25,58.56,52.29,39.41
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,ILA,b_CerebralCortex_D,CTX,1263.0,0.7,0.68,0.13,0.6,0.76,0.55,1.37,116,0.092,61.36,51.85,45.65,60.62,51.39,43.63
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,PL,b_CerebralCortex_C,CTX,1740.0,0.61,0.61,0.0,0.61,0.61,0.61,0.61,1,0.001,61.48,50.06,53.96,66.0,56.0,48.0
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,ORB,b_CerebralCortex_B,CTX,2118.0,0.7,0.7,0.08,0.7,0.74,0.55,0.81,5,0.002,61.02,48.14,46.04,54.82,49.17,42.48
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,MO,b_CerebralCortex_G,CTX,16882.0,0.64,0.61,0.09,0.58,0.66,0.55,1.04,50,0.003,62.84,59.91,59.26,59.01,60.5,57.47
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,ACA,b_CerebralCortex_F,CTX,5145.0,0.67,0.63,0.11,0.6,0.7,0.55,1.01,37,0.007,61.9,64.53,58.59,58.08,64.21,60.0
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,SS,b_CerebralCortex_H,CTX,31033.0,0.67,0.64,0.11,0.59,0.72,0.55,1.28,239,0.008,61.37,73.5,53.66,50.92,73.5,55.92
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,RSP,b_CerebralCortex_J,CTX,5887.0,0.65,0.63,0.09,0.58,0.69,0.55,0.97,84,0.014,62.78,96.86,65.72,60.7,92.98,64.4
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,PTL,b_CerebralCortex_K,CTX,2897.0,0.63,0.62,0.08,0.56,0.66,0.55,0.87,22,0.008,65.37,93.66,65.82,36.34,95.56,68.19
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,PVH,i_Hypothalamus_D,HYP,213.0,0.88,0.82,0.25,0.68,1.03,0.55,1.64,164,0.77,61.4,75.81,23.64,61.08,76.31,23.35
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,LHA,i_Hypothalamus_H,HYP,2596.0,0.92,0.85,0.3,0.69,1.07,0.55,2.39,1856,0.715,61.71,82.74,20.45,60.39,81.77,21.01
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,AHN,i_Hypothalamus_F,HYP,490.0,1.09,1.02,0.33,0.85,1.26,0.55,2.21,468,0.955,60.9,77.14,18.48,59.79,77.45,18.62
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,VMH,i_Hypothalamus_K,HYP,410.0,0.95,0.93,0.29,0.74,1.09,0.55,2.29,256,0.624,61.0,82.08,15.24,61.08,81.0,16.54
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,DMH,i_Hypothalamus_L,HYP,430.0,0.83,0.79,0.2,0.67,0.94,0.56,1.65,261,0.607,61.43,84.1,18.82,62.68,83.05,19.44
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,PH,i_Hypothalamus_N,HYP,660.0,0.73,0.69,0.15,0.61,0.81,0.55,1.27,347,0.526,61.77,90.07,23.64,62.19,89.52,22.67
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,STN,i_Hypothalamus_O,HYP,283.0,0.84,0.82,0.2,0.68,0.97,0.55,1.42,190,0.671,62.75,90.56,24.92,60.48,90.39,24.13
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,AVPV,i_Hypothalamus_C,HYP,80.0,0.67,0.67,0.07,0.62,0.72,0.56,0.79,12,0.15,60.74,68.08,15.9,59.69,67.73,16.99
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,PVp,i_Hypothalamus_M,HYP,319.0,0.76,0.75,0.18,0.57,0.87,0.56,1.14,12,0.038,61.52,89.35,12.33,62.27,91.08,12.58
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,SBPV,i_Hypothalamus_G,HYP,147.0,0.88,0.88,0.19,0.71,1.0,0.55,1.52,123,0.837,61.33,76.43,17.78,61.05,76.44,18.1
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,SCH,i_Hypothalamus_E,HYP,116.0,0.66,0.63,0.1,0.59,0.7,0.55,0.94,25,0.216,61.58,73.54,13.37,60.96,74.08,14.26
spmCohD_Grp1_Con2gt1_P05-T181-C8.nii,Grp1,Con1,1,0.546,ARH,i_Hypothalamus_J,HYP,166.0,0.64,0.64,0.0,0.64,0.64,0.64,0.64,1,0.006,61.32,83.25,11.77,58.0,82.0,13.0
